company,beds,baths,size,address,url
Condo for rent,2 bds,1 ba,703 sqft,701 Brandywine St SE APT 304, Washington, DC 20032,https://www.zillow.com/homedetails/701-Brandywine-St-SE-APT-304-Washington-DC-20032/71742042_zpid/
Apartment for rent,1 bd,1 ba,-- sqft,2727 Fairlawn Ave SE, Washington, DC 20019,https://www.zillow.com/homedetails/2727-Fairlawn-Ave-SE-Washington-DC-20019/2086967221_zpid/
House for rent,1 bd,1 ba,1,000 sqft,3110 18th St NW, Washington, DC 20010,https://www.zillow.com/homedetails/3110-18th-St-NW-Washington-DC-20010/465243_zpid/
Apartment for rent,1 bd,1 ba,800 sqft,215 Oakwood St SE, One Bedroom,https://www.zillow.com/homedetails/215-Oakwood-St-SE-3T51F21CZ-Washington-DC-20032/2087130237_zpid/
Apartment for rent,1 bd,1 ba,800 sqft,5000 A St SE, One Bedroom,https://www.zillow.com/homedetails/5000-A-St-SE-8BJKCZ8YP-Washington-DC-20019/2087130993_zpid/
Apartment for rent,1 bd,1 ba,650 sqft,1416 Eastern Ave NE APT 202, Washington, DC 20019,https://www.zillow.com/homedetails/1416-Eastern-Ave-NE-APT-202-Washington-DC-20019/2115100423_zpid/
Condo for rent,2 bds,1 ba,3,232 sqft,1725 Minnesota Ave SE APT 4, Washington, DC 20020,https://www.zillow.com/homedetails/1725-Minnesota-Ave-SE-APT-4-Washington-DC-20020/2097417339_zpid/
Apartment for rent,2 bds,1 ba,900 sqft,5120-5124 Astor Pl SE, Two Bedroom,https://www.zillow.com/homedetails/5120-Astor-Pl-SE-J9FF4A3TR-Washington-DC-20019/2087128582_zpid/
Condo for rent,1 bd,1 ba,2,988 sqft,1112 Raum St NE APT 4, Washington, DC 20002,https://www.zillow.com/homedetails/1112-Raum-St-NE-APT-4-Washington-DC-20002/2088131777_zpid/
Condo for rent,1 bd,1 ba,502 sqft,4800 C St SE APT 303, Washington, DC 20019,https://www.zillow.com/homedetails/4800-C-St-SE-APT-303-Washington-DC-20019/71741550_zpid/
Apartment for rent,2 bds,1 ba,625 sqft,2057 38th St SE APT 301, Washington, DC 20020,https://www.zillow.com/homedetails/2057-38th-St-SE-APT-301-Washington-DC-20020/523215_zpid/
Condo for rent,1 bd,1 ba,624 sqft,4724 Benning Rd SE APT 302, Washington, DC 20019,https://www.zillow.com/homedetails/4724-Benning-Rd-SE-APT-302-Washington-DC-20019/68082052_zpid/
Condo for rent,1 bd,1 ba,600 sqft,3503 B St SE APT 3, Washington, DC 20019,https://www.zillow.com/homedetails/3503-B-St-SE-APT-3-Washington-DC-20019/2082937842_zpid/
Condo for rent,1 bd,1 ba,600 sqft,1221 47th Pl NE APT 101, Washington, DC 20019,https://www.zillow.com/homedetails/1221-47th-Pl-NE-APT-101-Washington-DC-20019/2082953217_zpid/
Apartment for rent,1 bd,1 ba,680 sqft,5737 13th St NW # 1, Washington, DC 20011,https://www.zillow.com/homedetails/5737-13th-St-NW-1-Washington-DC-20011/2097553361_zpid/
Apartment for rent,1 bd,1 ba,750 sqft,636 12th St NE, Washington, DC 20002,https://www.zillow.com/homedetails/636-12th-St-NE-Washington-DC-20002/421182_zpid/
Apartment for rent,2 bds,1 ba,665 sqft,713 Brandywine St SE APT B3, Washington, DC 20032,https://www.zillow.com/homedetails/713-Brandywine-St-SE-APT-B3-Washington-DC-20032/71742075_zpid/
Apartment for rent,2 bds,1 ba,895 sqft,2100 Fendall St SE UNIT 12, Washington, DC 20020,https://www.zillow.com/homedetails/2100-Fendall-St-SE-UNIT-12-Washington-DC-20020/68082169_zpid/
Apartment for rent,2 bds,1 ba,750 sqft,4930 A St SE APT 103, Washington, DC 20019,https://www.zillow.com/homedetails/4930-A-St-SE-APT-103-Washington-DC-20019/2100714222_zpid/
Condo for rent,1 bd,1 ba,612 sqft,202 Oklahoma Ave NE, Washington, DC 20002,https://www.zillow.com/homedetails/202-Oklahoma-Ave-NE-Washington-DC-20002/507606_zpid/
Townhouse for rent,1 bd,1 ba,458 sqft,3639 New Hampshire Ave NW, Washington, DC 20010,https://www.zillow.com/homedetails/3639-New-Hampshire-Ave-NW-Washington-DC-20010/474852_zpid/
Condo for rent,1 bd,1 ba,602 sqft,207 16th St NE APT 5, Washington, DC 20002,https://www.zillow.com/homedetails/207-16th-St-NE-APT-5-Washington-DC-20002/114416403_zpid/
Condo for rent,1 bd,1 ba,602 sqft,201 16th St NE APT 1, Washington, DC 20002,https://www.zillow.com/homedetails/201-16th-St-NE-APT-1-Washington-DC-20002/114415415_zpid/
Apartment for rent,2 bds,1 ba,620 sqft,1904 M St NE APT 4, Washington, DC 20002,https://www.zillow.com/homedetails/1904-M-St-NE-APT-4-Washington-DC-20002/2085335476_zpid/
Condo for rent,1 bd,1 ba,602 sqft,209 16th St NE APT 6, Washington, DC 20002,https://www.zillow.com/homedetails/209-16th-St-NE-APT-6-Washington-DC-20002/114415095_zpid/
Condo for rent,1 bd,1 ba,3,290 sqft,92 Galveston Pl SW # 3, Washington, DC 20032,https://www.zillow.com/homedetails/92-Galveston-Pl-SW-3-Washington-DC-20032/2094773991_zpid/
Apartment for rent,2 bds,1 ba,750 sqft,1227 18th Pl NE, Washington, DC 20002,https://www.zillow.com/homedetails/1227-18th-Pl-NE-Washington-DC-20002/506320_zpid/
Apartment for rent,2 bds,1 ba,575 sqft,2016 37th St SE APT 201, Washington, DC 20020,https://www.zillow.com/homedetails/2016-37th-St-SE-APT-201-Washington-DC-20020/54658176_zpid/
House for rent,1 bd,1 ba,840 sqft,4960 Just St NE, Washington, DC 20019,https://www.zillow.com/homedetails/4960-Just-St-NE-Washington-DC-20019/512788_zpid/
Condo for rent,1 bd,1 ba,-- sqft,830 Kennedy St NW APT 36, Washington, DC 20011,https://www.zillow.com/homedetails/830-Kennedy-St-NW-APT-36-Washington-DC-20011/2082953201_zpid/
Apartment for rent,1 bd,1 ba,-- sqft,2321 4th Street, 1 BR,https://www.zillow.com/homedetails/2321-4th-St-NE-5B1KVYYNY-Washington-DC-20002/2086557465_zpid/
Condo for rent,2 bds,1 ba,1,028 sqft,2208 Nicholson St SE, Washington, DC 20020,https://www.zillow.com/homedetails/2208-Nicholson-St-SE-Washington-DC-20020/520555_zpid/
Apartment for rent,Studio,1 ba,400 sqft,4455 Macarthur Blvd NW APT T5, Washington, DC 20007,https://www.zillow.com/homedetails/4455-Macarthur-Blvd-NW-APT-T5-Washington-DC-20007/2100468550_zpid/
Apartment for rent,1 bd,1 ba,550 sqft,430 Missouri Ave NW, One Bedroom,https://www.zillow.com/homedetails/430-Missouri-Ave-NW-TRAUPDZK6-Washington-DC-20011/2085258731_zpid/
Condo for rent,2 bds,1 ba,703 sqft,701 Brandywine St SE APT 304, Washington, DC 20032,https://www.zillow.com/homedetails/701-Brandywine-St-SE-APT-304-Washington-DC-20032/71742042_zpid/
Apartment for rent,1 bd,1 ba,-- sqft,2727 Fairlawn Ave SE, Washington, DC 20019,https://www.zillow.com/homedetails/2727-Fairlawn-Ave-SE-Washington-DC-20019/2086967221_zpid/
House for rent,1 bd,1 ba,1,000 sqft,3110 18th St NW, Washington, DC 20010,https://www.zillow.com/homedetails/3110-18th-St-NW-Washington-DC-20010/465243_zpid/
Apartment for rent,1 bd,1 ba,800 sqft,215 Oakwood St SE, One Bedroom,https://www.zillow.com/homedetails/215-Oakwood-St-SE-3T51F21CZ-Washington-DC-20032/2087130237_zpid/
Apartment for rent,1 bd,1 ba,800 sqft,5000 A St SE, One Bedroom,https://www.zillow.com/homedetails/5000-A-St-SE-8BJKCZ8YP-Washington-DC-20019/2087130993_zpid/
Apartment for rent,1 bd,1 ba,650 sqft,1416 Eastern Ave NE APT 202, Washington, DC 20019,https://www.zillow.com/homedetails/1416-Eastern-Ave-NE-APT-202-Washington-DC-20019/2115100423_zpid/
Condo for rent,2 bds,1 ba,3,232 sqft,1725 Minnesota Ave SE APT 4, Washington, DC 20020,https://www.zillow.com/homedetails/1725-Minnesota-Ave-SE-APT-4-Washington-DC-20020/2097417339_zpid/
Apartment for rent,2 bds,1 ba,900 sqft,5120-5124 Astor Pl SE, Two Bedroom,https://www.zillow.com/homedetails/5120-Astor-Pl-SE-J9FF4A3TR-Washington-DC-20019/2087128582_zpid/
Condo for rent,1 bd,1 ba,2,988 sqft,1112 Raum St NE APT 4, Washington, DC 20002,https://www.zillow.com/homedetails/1112-Raum-St-NE-APT-4-Washington-DC-20002/2088131777_zpid/
Condo for rent,1 bd,1 ba,502 sqft,4800 C St SE APT 303, Washington, DC 20019,https://www.zillow.com/homedetails/4800-C-St-SE-APT-303-Washington-DC-20019/71741550_zpid/
Apartment for rent,2 bds,1 ba,625 sqft,2057 38th St SE APT 301, Washington, DC 20020,https://www.zillow.com/homedetails/2057-38th-St-SE-APT-301-Washington-DC-20020/523215_zpid/
Condo for rent,1 bd,1 ba,624 sqft,4724 Benning Rd SE APT 302, Washington, DC 20019,https://www.zillow.com/homedetails/4724-Benning-Rd-SE-APT-302-Washington-DC-20019/68082052_zpid/
Condo for rent,1 bd,1 ba,600 sqft,3503 B St SE APT 3, Washington, DC 20019,https://www.zillow.com/homedetails/3503-B-St-SE-APT-3-Washington-DC-20019/2082937842_zpid/
Condo for rent,1 bd,1 ba,600 sqft,1221 47th Pl NE APT 101, Washington, DC 20019,https://www.zillow.com/homedetails/1221-47th-Pl-NE-APT-101-Washington-DC-20019/2082953217_zpid/
Apartment for rent,1 bd,1 ba,680 sqft,5737 13th St NW # 1, Washington, DC 20011,https://www.zillow.com/homedetails/5737-13th-St-NW-1-Washington-DC-20011/2097553361_zpid/
Apartment for rent,1 bd,1 ba,750 sqft,636 12th St NE, Washington, DC 20002,https://www.zillow.com/homedetails/636-12th-St-NE-Washington-DC-20002/421182_zpid/
Apartment for rent,2 bds,1 ba,665 sqft,713 Brandywine St SE APT B3, Washington, DC 20032,https://www.zillow.com/homedetails/713-Brandywine-St-SE-APT-B3-Washington-DC-20032/71742075_zpid/
Apartment for rent,2 bds,1 ba,895 sqft,2100 Fendall St SE UNIT 12, Washington, DC 20020,https://www.zillow.com/homedetails/2100-Fendall-St-SE-UNIT-12-Washington-DC-20020/68082169_zpid/
Apartment for rent,2 bds,1 ba,750 sqft,4930 A St SE APT 103, Washington, DC 20019,https://www.zillow.com/homedetails/4930-A-St-SE-APT-103-Washington-DC-20019/2100714222_zpid/
Condo for rent,1 bd,1 ba,612 sqft,202 Oklahoma Ave NE, Washington, DC 20002,https://www.zillow.com/homedetails/202-Oklahoma-Ave-NE-Washington-DC-20002/507606_zpid/
Townhouse for rent,1 bd,1 ba,458 sqft,3639 New Hampshire Ave NW, Washington, DC 20010,https://www.zillow.com/homedetails/3639-New-Hampshire-Ave-NW-Washington-DC-20010/474852_zpid/
Condo for rent,1 bd,1 ba,602 sqft,207 16th St NE APT 5, Washington, DC 20002,https://www.zillow.com/homedetails/207-16th-St-NE-APT-5-Washington-DC-20002/114416403_zpid/
Condo for rent,1 bd,1 ba,602 sqft,201 16th St NE APT 1, Washington, DC 20002,https://www.zillow.com/homedetails/201-16th-St-NE-APT-1-Washington-DC-20002/114415415_zpid/
Apartment for rent,2 bds,1 ba,620 sqft,1904 M St NE APT 4, Washington, DC 20002,https://www.zillow.com/homedetails/1904-M-St-NE-APT-4-Washington-DC-20002/2085335476_zpid/
Condo for rent,1 bd,1 ba,602 sqft,209 16th St NE APT 6, Washington, DC 20002,https://www.zillow.com/homedetails/209-16th-St-NE-APT-6-Washington-DC-20002/114415095_zpid/
Condo for rent,1 bd,1 ba,3,290 sqft,92 Galveston Pl SW # 3, Washington, DC 20032,https://www.zillow.com/homedetails/92-Galveston-Pl-SW-3-Washington-DC-20032/2094773991_zpid/
Apartment for rent,2 bds,1 ba,750 sqft,1227 18th Pl NE, Washington, DC 20002,https://www.zillow.com/homedetails/1227-18th-Pl-NE-Washington-DC-20002/506320_zpid/
Apartment for rent,2 bds,1 ba,575 sqft,2016 37th St SE APT 201, Washington, DC 20020,https://www.zillow.com/homedetails/2016-37th-St-SE-APT-201-Washington-DC-20020/54658176_zpid/
House for rent,1 bd,1 ba,840 sqft,4960 Just St NE, Washington, DC 20019,https://www.zillow.com/homedetails/4960-Just-St-NE-Washington-DC-20019/512788_zpid/
Condo for rent,1 bd,1 ba,-- sqft,830 Kennedy St NW APT 36, Washington, DC 20011,https://www.zillow.com/homedetails/830-Kennedy-St-NW-APT-36-Washington-DC-20011/2082953201_zpid/
Apartment for rent,1 bd,1 ba,-- sqft,2321 4th Street, 1 BR,https://www.zillow.com/homedetails/2321-4th-St-NE-5B1KVYYNY-Washington-DC-20002/2086557465_zpid/
Condo for rent,2 bds,1 ba,1,028 sqft,2208 Nicholson St SE, Washington, DC 20020,https://www.zillow.com/homedetails/2208-Nicholson-St-SE-Washington-DC-20020/520555_zpid/
Apartment for rent,Studio,1 ba,400 sqft,4455 Macarthur Blvd NW APT T5, Washington, DC 20007,https://www.zillow.com/homedetails/4455-Macarthur-Blvd-NW-APT-T5-Washington-DC-20007/2100468550_zpid/
Apartment for rent,1 bd,1 ba,550 sqft,430 Missouri Ave NW, One Bedroom,https://www.zillow.com/homedetails/430-Missouri-Ave-NW-TRAUPDZK6-Washington-DC-20011/2085258731_zpid/
Condo for rent,2 bds,1 ba,703 sqft,701 Brandywine St SE APT 304, Washington, DC 20032,https://www.zillow.com/homedetails/701-Brandywine-St-SE-APT-304-Washington-DC-20032/71742042_zpid/
Apartment for rent,1 bd,1 ba,-- sqft,2727 Fairlawn Ave SE, Washington, DC 20019,https://www.zillow.com/homedetails/2727-Fairlawn-Ave-SE-Washington-DC-20019/2086967221_zpid/
House for rent,1 bd,1 ba,1,000 sqft,3110 18th St NW, Washington, DC 20010,https://www.zillow.com/homedetails/3110-18th-St-NW-Washington-DC-20010/465243_zpid/
Apartment for rent,1 bd,1 ba,800 sqft,215 Oakwood St SE, One Bedroom,https://www.zillow.com/homedetails/215-Oakwood-St-SE-3T51F21CZ-Washington-DC-20032/2087130237_zpid/
Apartment for rent,1 bd,1 ba,800 sqft,5000 A St SE, One Bedroom,https://www.zillow.com/homedetails/5000-A-St-SE-8BJKCZ8YP-Washington-DC-20019/2087130993_zpid/
Apartment for rent,1 bd,1 ba,650 sqft,1416 Eastern Ave NE APT 202, Washington, DC 20019,https://www.zillow.com/homedetails/1416-Eastern-Ave-NE-APT-202-Washington-DC-20019/2115100423_zpid/
Condo for rent,2 bds,1 ba,3,232 sqft,1725 Minnesota Ave SE APT 4, Washington, DC 20020,https://www.zillow.com/homedetails/1725-Minnesota-Ave-SE-APT-4-Washington-DC-20020/2097417339_zpid/
Apartment for rent,2 bds,1 ba,900 sqft,5120-5124 Astor Pl SE, Two Bedroom,https://www.zillow.com/homedetails/5120-Astor-Pl-SE-J9FF4A3TR-Washington-DC-20019/2087128582_zpid/
Condo for rent,1 bd,1 ba,2,988 sqft,1112 Raum St NE APT 4, Washington, DC 20002,https://www.zillow.com/homedetails/1112-Raum-St-NE-APT-4-Washington-DC-20002/2088131777_zpid/
Condo for rent,1 bd,1 ba,502 sqft,4800 C St SE APT 303, Washington, DC 20019,https://www.zillow.com/homedetails/4800-C-St-SE-APT-303-Washington-DC-20019/71741550_zpid/
Apartment for rent,2 bds,1 ba,625 sqft,2057 38th St SE APT 301, Washington, DC 20020,https://www.zillow.com/homedetails/2057-38th-St-SE-APT-301-Washington-DC-20020/523215_zpid/
Condo for rent,1 bd,1 ba,624 sqft,4724 Benning Rd SE APT 302, Washington, DC 20019,https://www.zillow.com/homedetails/4724-Benning-Rd-SE-APT-302-Washington-DC-20019/68082052_zpid/
Condo for rent,1 bd,1 ba,600 sqft,3503 B St SE APT 3, Washington, DC 20019,https://www.zillow.com/homedetails/3503-B-St-SE-APT-3-Washington-DC-20019/2082937842_zpid/
Condo for rent,1 bd,1 ba,600 sqft,1221 47th Pl NE APT 101, Washington, DC 20019,https://www.zillow.com/homedetails/1221-47th-Pl-NE-APT-101-Washington-DC-20019/2082953217_zpid/
Apartment for rent,1 bd,1 ba,680 sqft,5737 13th St NW # 1, Washington, DC 20011,https://www.zillow.com/homedetails/5737-13th-St-NW-1-Washington-DC-20011/2097553361_zpid/
Apartment for rent,1 bd,1 ba,750 sqft,636 12th St NE, Washington, DC 20002,https://www.zillow.com/homedetails/636-12th-St-NE-Washington-DC-20002/421182_zpid/
